experiment,device,model,run,single_time_s,single_tokens,single_toks,single_ttft_ms,agent_chain_s,step1_s,step2_s,step3_s,linear_expected_s,overhead_ratio,chain_completed,answer_correct,final_output,single_ram_mb,agent_ram_mb
E3,device1,phi3:mini,1,23.6192,24,1.02,18170.37,59.9222,17.1231,18.8282,23.9691,70.8576,0.8457,True,False,"Subtotal (excluding GST): $8,750   Goods and Services Tax (GST) @ 10%: $1,562.50    Total Amount Due",4200.9,3456.2
E3,device1,phi3:mini,2,16.4915,24,1.46,10246.51,53.4865,16.2474,17.0836,20.1545,49.4745,1.0811,True,False,"Subtotal (excluding GST): $8,750   Goods and Services Tax (GST) @ 10%: $1,562.50    Total Amount Due",3457.9,3460.6
E3,device1,phi3:mini,3,15.9768,24,1.5,9488.87,58.2185,14.8562,19.2541,24.1066,47.9304,1.2146,True,False,"Subtotal (excluding GST): $8,750   Goods and Services Tax (GST) @ 10%: $1,562.50    Total Amount Due",3461.3,3462.0
E3,device1,phi3:mini,4,17.7646,24,1.35,10816.59,52.5491,17.4507,15.6592,19.4385,53.2938,0.986,True,False,"Subtotal (excluding GST): $8,750   Goods and Services Tax (GST) @ 10%: $1,562.50    Total Amount Due",3462.0,3463.6
E3,device1,phi3:mini,5,16.9833,24,1.41,11003.38,55.7033,14.5579,17.696,23.4476,50.9499,1.0933,True,False,"Subtotal (excluding GST): $8,750   Goods and Services Tax (GST) @ 10%: $1,562.50    Total Amount Due",3464.6,3466.0
E3,device1,phi3:mini,6,16.9422,24,1.42,10404.4,54.0691,14.2589,14.9137,24.8949,50.8266,1.0638,True,False,"Subtotal (excluding GST): $8,750   Goods and Services Tax (GST) @ 10%: $1,562.50    Total Amount Due",3465.7,3465.5
E3,device1,phi3:mini,7,16.3402,24,1.47,9991.79,50.0086,14.4712,15.1063,20.4302,49.0206,1.0202,True,False,"Subtotal (excluding GST): $8,750   Goods and Services Tax (GST) @ 10%: $1,562.50    Total Amount Due",3466.2,3467.2
E3,device1,phi3:mini,8,16.3685,24,1.47,10454.9,49.429,14.4292,14.6302,20.3687,49.1055,1.0066,True,False,"Subtotal (excluding GST): $8,750   Goods and Services Tax (GST) @ 10%: $1,562.50    Total Amount Due",3467.4,3467.1
E3,device1,phi3:mini,9,15.4682,24,1.55,9914.85,53.6081,14.3495,19.8547,19.4023,46.4046,1.1552,True,False,"Subtotal (excluding GST): $8,750   Goods and Services Tax (GST) @ 10%: $1,562.50    Total Amount Due",3465.5,3466.4
E3,device1,phi3:mini,10,16.2705,24,1.48,9851.05,50.0625,14.8183,15.8703,19.3729,48.8115,1.0256,True,False,"Subtotal (excluding GST): $8,750   Goods and Services Tax (GST) @ 10%: $1,562.50    Total Amount Due",3467.6,3467.7
E3,device1,phi3:mini,11,15.5023,24,1.55,9888.32,52.1622,14.2717,14.908,22.9819,46.5069,1.1216,True,False,"Subtotal (excluding GST): $8,750   Goods and Services Tax (GST) @ 10%: $1,562.50    Total Amount Due",3466.8,3466.6
E3,device1,phi3:mini,12,15.3061,24,1.57,9694.2,47.4998,14.0595,14.1464,19.2927,45.9183,1.0344,True,False,"Subtotal (excluding GST): $8,750   Goods and Services Tax (GST) @ 10%: $1,562.50    Total Amount Due",3466.1,3469.0
E3,device1,phi3:mini,13,15.882,24,1.51,10283.87,53.73,16.9375,15.7946,20.9972,47.646,1.1277,True,False,"Subtotal (excluding GST): $8,750   Goods and Services Tax (GST) @ 10%: $1,562.50    Total Amount Due",3469.0,3470.2
E3,device1,phi3:mini,14,16.633,24,1.44,10279.45,50.0048,14.6563,15.0838,20.2637,49.899,1.0021,True,False,"Subtotal (excluding GST): $8,750   Goods and Services Tax (GST) @ 10%: $1,562.50    Total Amount Due",3470.6,3470.6
E3,device1,phi3:mini,15,15.1029,24,1.59,9810.61,49.1793,15.0245,15.3874,18.7664,45.3087,1.0854,True,False,"Subtotal (excluding GST): $8,750   Goods and Services Tax (GST) @ 10%: $1,562.50    Total Amount Due",3469.2,3502.0
E3,device1,phi3:mini,16,15.0659,24,1.59,10062.6,48.3689,14.1415,15.2597,18.9672,45.1977,1.0702,True,False,"Subtotal (excluding GST): $8,750   Goods and Services Tax (GST) @ 10%: $1,562.50    Total Amount Due",3469.7,3473.3
E3,device1,phi3:mini,17,14.6318,24,1.64,9159.04,47.491,14.0434,13.6317,19.8151,43.8954,1.0819,True,False,"Subtotal (excluding GST): $8,750   Goods and Services Tax (GST) @ 10%: $1,562.50    Total Amount Due",3474.3,3475.3
E3,device1,phi3:mini,18,14.0985,24,1.7,9111.44,46.1179,12.9544,14.0355,19.1274,42.2955,1.0904,True,False,"Subtotal (excluding GST): $8,750   Goods and Services Tax (GST) @ 10%: $1,562.50    Total Amount Due",3472.4,3471.9
E3,device1,phi3:mini,19,17.8096,24,1.35,11957.92,47.8967,13.7243,15.2685,18.9032,53.4288,0.8965,True,False,"Subtotal (excluding GST): $8,750   Goods and Services Tax (GST) @ 10%: $1,562.50    Total Amount Due",3472.8,3472.8
E3,device1,phi3:mini,20,14.4346,24,1.66,9213.31,48.0092,13.1848,13.6497,21.1724,43.3038,1.1087,True,False,"Subtotal (excluding GST): $8,750   Goods and Services Tax (GST) @ 10%: $1,562.50    Total Amount Due",3473.3,3474.2
E3,device1,phi3:mini,21,15.9756,24,1.5,9686.39,51.5126,15.0446,16.1764,20.2909,47.9268,1.0748,True,False,"Subtotal (excluding GST): $8,750   Goods and Services Tax (GST) @ 10%: $1,562.50    Total Amount Due",3473.4,3474.1
E3,device1,phi3:mini,22,15.148,24,1.58,9904.85,52.2093,15.7685,15.8138,20.6262,45.444,1.1489,True,False,"Subtotal (excluding GST): $8,750   Goods and Services Tax (GST) @ 10%: $1,562.50    Total Amount Due",3473.6,3496.1
E3,device1,phi3:mini,23,16.5252,24,1.45,10781.2,52.0826,15.2239,14.7619,22.0956,49.5756,1.0506,True,False,"Subtotal (excluding GST): $8,750   Goods and Services Tax (GST) @ 10%: $1,562.50    Total Amount Due",3471.8,3473.5
E3,device1,phi3:mini,24,14.9399,24,1.61,9672.18,49.797,14.6347,14.6696,20.4919,44.8197,1.1111,True,False,"Subtotal (excluding GST): $8,750   Goods and Services Tax (GST) @ 10%: $1,562.50    Total Amount Due",3474.3,3477.2
E3,device1,phi3:mini,25,15.6258,24,1.54,9882.84,55.8432,15.447,15.6944,24.7013,46.8774,1.1913,True,False,"Subtotal (excluding GST): $8,750   Goods and Services Tax (GST) @ 10%: $1,562.50    Total Amount Due",3477.6,3475.9
E3,device1,phi3:mini,26,17.867,24,1.34,11856.02,56.6479,13.6897,18.2908,24.6666,53.601,1.0568,True,False,"Subtotal (excluding GST): $8,750   Goods and Services Tax (GST) @ 10%: $1,562.50    Total Amount Due",3473.4,3474.8
E3,device1,phi3:mini,27,17.4497,24,1.38,10349.79,62.2455,18.3616,18.6475,25.2341,52.3491,1.189,True,False,"Subtotal (excluding GST): $8,750   Goods and Services Tax (GST) @ 10%: $1,562.50    Total Amount Due",3475.0,3474.0
E3,device1,phi3:mini,28,16.8719,24,1.42,11116.77,54.2755,17.8271,17.5889,18.8589,50.6157,1.0723,True,False,"Subtotal (excluding GST): $8,750   Goods and Services Tax (GST) @ 10%: $1,562.50    Total Amount Due",3473.0,3473.0
E3,device1,phi3:mini,29,16.3063,24,1.47,10771.12,46.2877,13.4502,14.276,18.5607,48.9189,0.9462,True,False,"Subtotal (excluding GST): $8,750   Goods and Services Tax (GST) @ 10%: $1,562.50    Total Amount Due",3473.3,3475.3
E3,device1,phi3:mini,30,13.7163,24,1.75,8807.72,48.8549,13.4527,13.6743,21.7271,41.1489,1.1873,True,False,"Subtotal (excluding GST): $8,750   Goods and Services Tax (GST) @ 10%: $1,562.50    Total Amount Due",3476.7,3477.4
E3,device1,qwen2.5:3b,1,33.3134,27,0.81,27613.24,27.0496,8.8808,9.0851,9.0815,99.9402,0.2707,True,False,"Subtotal: 1750, GST: 129.5; Total: 1879.5",2681.4,2659.7
E3,device1,qwen2.5:3b,2,11.1373,27,2.42,6501.48,28.0262,10.4667,8.3945,9.1644,33.4119,0.8388,True,False,"Subtotal: 1750, GST: 129.5; Total: 1879.5",2660.7,2669.5
E3,device1,qwen2.5:3b,3,10.7204,27,2.52,6090.54,30.4191,9.0136,10.4739,10.9308,32.1612,0.9458,True,False,"Subtotal: 1750, GST: 129.5; Total: 1879.5",2665.1,2674.4
E3,device1,qwen2.5:3b,4,10.2386,27,2.64,5655.7,26.7541,8.1859,8.9765,9.5911,30.7158,0.871,True,False,"Subtotal: 1750, GST: 129.5; Total: 1879.5",2673.5,2675.7
E3,device1,qwen2.5:3b,5,11.7391,27,2.3,5927.76,26.9331,9.0121,8.4367,9.4833,35.2173,0.7648,True,False,"Subtotal: 1750, GST: 129.5; Total: 1879.5",2676.7,2679.2
E3,device1,qwen2.5:3b,6,10.6004,27,2.55,5974.01,26.8027,8.7093,8.7983,9.2916,31.8012,0.8428,True,False,"Subtotal: 1750, GST: 129.5; Total: 1879.5",2679.2,2685.0
E3,device1,qwen2.5:3b,7,10.8382,27,2.49,5892.04,36.2525,9.3346,8.6014,18.316,32.5146,1.115,True,False,"Subtotal: 1750, GST: 129.5; Total: 1879.5",2682.6,2686.6
E3,device1,qwen2.5:3b,8,12.7859,27,2.11,8248.93,25.152,8.7578,7.618,8.7754,38.3577,0.6557,True,False,"Subtotal: 1750, GST: 129.5; Total: 1879.5",2687.7,2691.4
E3,device1,qwen2.5:3b,9,9.4142,27,2.87,5268.58,25.5022,8.0584,8.714,8.7293,28.2426,0.903,True,False,"Subtotal: 1750, GST: 129.5; Total: 1879.5",2692.6,2692.4
E3,device1,qwen2.5:3b,10,11.2808,27,2.39,6153.44,28.2767,7.9521,9.6901,10.6306,33.8424,0.8355,True,False,"Subtotal: 1750, GST: 129.5; Total: 1879.5",2692.7,2699.8
E3,device1,qwen2.5:3b,11,10.6109,27,2.54,6264.04,27.1137,8.2077,8.6774,10.2278,31.8327,0.8518,True,False,"Subtotal: 1750, GST: 129.5; Total: 1879.5",2698.6,2698.2
E3,device1,qwen2.5:3b,12,10.8634,27,2.49,6144.46,27.7822,8.5827,10.1761,9.0225,32.5902,0.8525,True,False,"Subtotal: 1750, GST: 129.5; Total: 1879.5",2699.5,2702.9
E3,device1,qwen2.5:3b,13,10.7518,27,2.51,5720.0,28.9657,9.0649,8.9958,10.9042,32.2554,0.898,True,False,"Subtotal: 1750, GST: 129.5; Total: 1879.5",2701.5,2704.8
E3,device1,qwen2.5:3b,14,11.2001,27,2.41,6033.55,28.5247,9.301,9.1271,10.0961,33.6003,0.8489,True,False,"Subtotal: 1750, GST: 129.5; Total: 1879.5",2705.3,2708.8
E3,device1,qwen2.5:3b,15,10.8217,27,2.49,6559.0,28.8032,8.6456,10.5684,9.5885,32.4651,0.8872,True,False,"Subtotal: 1750, GST: 129.5; Total: 1879.5",2703.6,2706.7
E3,device1,qwen2.5:3b,16,12.1655,27,2.22,7711.62,28.2382,8.6097,10.2414,9.3866,36.4965,0.7737,True,False,"Subtotal: 1750, GST: 129.5; Total: 1879.5",2705.3,2708.0
E3,device1,qwen2.5:3b,17,14.3911,27,1.88,6593.68,32.0568,11.1737,9.3926,11.4895,43.1733,0.7425,True,False,"Subtotal: 1750, GST: 129.5; Total: 1879.5",2707.0,2707.9
E3,device1,qwen2.5:3b,18,11.4368,27,2.36,5122.68,27.9963,8.8962,9.337,9.7622,34.3104,0.816,True,False,"Subtotal: 1750, GST: 129.5; Total: 1879.5",2708.6,2712.5
E3,device1,qwen2.5:3b,19,10.5293,27,2.56,5775.3,28.9474,8.5847,8.9851,11.3763,31.5879,0.9164,True,False,"Subtotal: 1750, GST: 129.5; Total: 1879.5",2713.5,2718.9
E3,device1,qwen2.5:3b,20,11.7585,27,2.3,6659.31,30.9746,9.1889,8.7594,13.0252,35.2755,0.8781,True,False,"Subtotal: 1750, GST: 129.5; Total: 1879.5",2733.1,2710.1
E3,device1,qwen2.5:3b,21,12.3247,27,2.19,6855.56,28.5992,9.8651,8.8485,9.8848,36.9741,0.7735,True,False,"Subtotal: 1750, GST: 129.5; Total: 1879.5",2713.3,2714.0
E3,device1,qwen2.5:3b,22,9.6981,27,2.78,5292.91,28.9159,8.9984,9.3391,10.5777,29.0943,0.9939,True,False,"Subtotal: 1750, GST: 129.5; Total: 1879.5",2713.1,2714.1
E3,device1,qwen2.5:3b,23,13.0625,27,2.07,6542.52,27.3394,9.2063,8.5399,9.5914,39.1875,0.6977,True,False,"Subtotal: 1750, GST: 129.5; Total: 1879.5",2711.6,2716.4
E3,device1,qwen2.5:3b,24,10.9939,27,2.46,5858.49,32.8333,9.3167,11.412,12.1028,32.9817,0.9955,True,False,"Subtotal: 1750, GST: 129.5; Total: 1879.5",2712.1,2716.5
E3,device1,qwen2.5:3b,25,11.3696,27,2.37,6170.4,24.8147,7.6406,8.3376,8.8356,34.1088,0.7275,True,False,"Subtotal: 1750, GST: 129.5; Total: 1879.5",2715.2,2716.6
E3,device1,qwen2.5:3b,26,12.1183,27,2.23,7085.58,29.4887,9.4725,9.4575,10.5564,36.3549,0.8111,True,False,"Subtotal: 1750, GST: 129.5; Total: 1879.5",2714.2,2715.1
E3,device1,qwen2.5:3b,27,11.555,27,2.34,5015.3,28.6376,9.7246,9.0245,9.8842,34.665,0.8261,True,False,"Subtotal: 1750, GST: 129.5; Total: 1879.5",2718.4,2720.9
E3,device1,qwen2.5:3b,28,10.3481,27,2.61,5547.52,29.4054,10.0475,9.5632,9.7939,31.0443,0.9472,True,False,"Subtotal: 1750, GST: 129.5; Total: 1879.5",2720.5,2720.5
E3,device1,qwen2.5:3b,29,10.9347,27,2.47,5754.51,27.3938,10.0607,7.7788,9.5535,32.8041,0.8351,True,False,"Subtotal: 1750, GST: 129.5; Total: 1879.5",2720.4,2722.6
E3,device1,qwen2.5:3b,30,12.1218,27,2.23,6687.3,40.4422,9.6698,18.8541,11.9168,36.3654,1.1121,True,False,"Subtotal: 1750, GST: 129.5; Total: 1879.5",2721.5,2719.7
E3,device1,mistral:7b,1,118.6953,24,0.2,74680.86,115.7534,39.6806,47.2145,28.8537,356.0859,0.3251,True,False,"""Subtotal: $1,750 | GST: $175 | Total: $1,925""",5301.4,5076.7
E3,device1,mistral:7b,2,24.3954,24,0.98,14651.82,76.9232,24.7612,27.5531,24.6083,73.1862,1.0511,True,False,"""Subtotal: $1,750 | GST: $175 | Total: $1,925""",5081.2,5085.9
E3,device1,mistral:7b,3,30.7904,24,0.78,18965.04,92.2504,29.7647,35.529,26.9529,92.3712,0.9987,True,False,"""Subtotal: $1,750 | GST: $175 | Total: $1,925""",5087.6,5091.2
E3,device1,mistral:7b,4,32.8205,24,0.73,16050.58,66.0694,20.741,22.3989,22.9289,98.4615,0.671,True,False,"""Subtotal: $1,750 | GST: $175 | Total: $1,925""",5090.6,5090.3
E3,device1,mistral:7b,5,24.4271,24,0.98,15048.15,67.7408,22.6847,24.042,21.0126,73.2813,0.9244,True,False,"""Subtotal: $1,750 | GST: $175 | Total: $1,925""",5090.9,5092.8
E3,device1,mistral:7b,6,19.0239,24,1.26,12293.52,63.7999,22.2996,22.334,19.1656,57.0717,1.1179,True,False,"""Subtotal: $1,750 | GST: $175 | Total: $1,925""",5093.1,5097.0
E3,device1,mistral:7b,7,24.1358,24,0.99,15303.55,74.17,24.6043,26.0766,23.4885,72.4074,1.0243,True,False,"""Subtotal: $1,750 | GST: $175 | Total: $1,925""",5096.7,5094.7
E3,device1,mistral:7b,8,19.8364,24,1.21,13159.38,63.9177,20.5902,22.1797,21.1473,59.5092,1.0741,True,False,"""Subtotal: $1,750 | GST: $175 | Total: $1,925""",5093.5,5095.4
E3,device1,mistral:7b,9,19.7153,24,1.22,12783.4,65.4143,21.4591,23.2135,20.7413,59.1459,1.106,True,False,"""Subtotal: $1,750 | GST: $175 | Total: $1,925""",5097.1,5099.7
E3,device1,mistral:7b,10,20.8624,24,1.15,11928.35,71.7374,24.3031,25.1977,22.2335,62.5872,1.1462,True,False,"""Subtotal: $1,750 | GST: $175 | Total: $1,925""",5099.7,5099.7
E3,device1,mistral:7b,11,20.2994,24,1.18,12355.44,79.4621,22.0777,30.1512,27.2323,60.8982,1.3048,True,False,"""Subtotal: $1,750 | GST: $175 | Total: $1,925""",5098.7,5098.8
E3,device1,mistral:7b,12,20.6473,24,1.16,13179.44,69.2553,23.7173,23.5668,21.9703,61.9419,1.1181,True,False,"""Subtotal: $1,750 | GST: $175 | Total: $1,925""",5099.9,5118.7
E3,device1,mistral:7b,13,18.6835,24,1.28,11658.19,63.6713,21.1879,23.12,19.3629,56.0505,1.136,True,False,"""Subtotal: $1,750 | GST: $175 | Total: $1,925""",5093.2,5099.1
E3,device1,mistral:7b,14,19.4791,24,1.23,12862.13,64.6496,21.055,22.9779,20.6161,58.4373,1.1063,True,False,"""Subtotal: $1,750 | GST: $175 | Total: $1,925""",5099.1,5102.7
E3,device1,mistral:7b,15,18.351,24,1.31,11578.39,63.1278,19.7659,23.2465,20.1147,55.053,1.1467,True,False,"""Subtotal: $1,750 | GST: $175 | Total: $1,925""",5102.6,5102.6
E3,device1,mistral:7b,16,19.1333,24,1.25,12359.61,62.2162,20.1756,21.9793,20.0608,57.3999,1.0839,True,False,"""Subtotal: $1,750 | GST: $175 | Total: $1,925""",5102.8,5103.5
E3,device1,mistral:7b,17,18.5957,24,1.29,11726.22,68.9025,24.746,22.3776,21.7783,55.7871,1.2351,True,False,"""Subtotal: $1,750 | GST: $175 | Total: $1,925""",5103.3,5104.0
E3,device1,mistral:7b,18,18.7604,24,1.28,12164.12,64.2251,20.3637,24.141,19.7199,56.2812,1.1411,True,False,"""Subtotal: $1,750 | GST: $175 | Total: $1,925""",5103.7,5103.9
E3,device1,mistral:7b,19,18.7909,24,1.28,12099.57,62.3742,20.7162,22.8816,18.776,56.3727,1.1065,True,False,"""Subtotal: $1,750 | GST: $175 | Total: $1,925""",5101.9,5104.1
E3,device1,mistral:7b,20,18.7666,24,1.28,12185.75,63.1663,21.9531,22.4755,18.7366,56.2998,1.122,True,False,"""Subtotal: $1,750 | GST: $175 | Total: $1,925""",5104.6,5104.8
E3,device1,mistral:7b,21,18.0842,24,1.33,11599.86,63.49,20.1911,22.071,21.2274,54.2526,1.1703,True,False,"""Subtotal: $1,750 | GST: $175 | Total: $1,925""",5102.2,5103.7
E3,device1,mistral:7b,22,19.1434,24,1.25,12484.43,63.8216,21.2894,22.7052,19.8239,57.4302,1.1113,True,False,"""Subtotal: $1,750 | GST: $175 | Total: $1,925""",5103.1,5102.4
E3,device1,mistral:7b,23,18.8056,24,1.28,12044.79,64.8915,21.2589,22.1241,21.5081,56.4168,1.1502,True,False,"""Subtotal: $1,750 | GST: $175 | Total: $1,925""",5102.1,5102.5
E3,device1,mistral:7b,24,19.0759,24,1.26,12222.39,61.7703,20.1312,22.0776,19.5611,57.2277,1.0794,True,False,"""Subtotal: $1,750 | GST: $175 | Total: $1,925""",5101.6,5102.6
E3,device1,mistral:7b,25,19.7579,24,1.21,12964.89,63.3071,19.6215,22.9111,20.7736,59.2737,1.068,True,False,"""Subtotal: $1,750 | GST: $175 | Total: $1,925""",5101.3,5102.7
E3,device1,mistral:7b,26,20.7292,24,1.16,12665.31,62.498,20.2548,21.9222,20.3205,62.1876,1.005,True,False,"""Subtotal: $1,750 | GST: $175 | Total: $1,925""",5102.7,5104.1
E3,device1,mistral:7b,27,18.3935,24,1.3,11914.52,60.9326,19.8061,21.7929,19.3331,55.1805,1.1042,True,False,"""Subtotal: $1,750 | GST: $175 | Total: $1,925""",5104.1,5105.1
E3,device1,mistral:7b,28,18.8328,24,1.27,11913.35,63.9603,21.4704,22.5178,19.9699,56.4984,1.1321,True,False,"""Subtotal: $1,750 | GST: $175 | Total: $1,925""",5103.6,5101.2
E3,device1,mistral:7b,29,23.6645,24,1.01,14726.07,61.7728,19.9057,21.88,19.9867,70.9935,0.8701,True,False,"""Subtotal: $1,750 | GST: $175 | Total: $1,925""",5098.9,5102.1
E3,device1,mistral:7b,30,18.3958,24,1.3,11801.97,59.5844,19.6493,20.9643,18.9702,55.1874,1.0797,True,False,"""Subtotal: $1,750 | GST: $175 | Total: $1,925""",5102.8,5102.8
